TicketID,Requester,Department,Category,Priority,Status,Assignee,Channel,CreatedDate,ResolvedDate
INC2001,E1003,Operations,Email / Outlook,P2,In Progress,Priya Nair,Portal,2026-05-19,
INC2002,E1016,Marketing,Email / Outlook,P2,Resolved,Hafiz Abdullah,Portal,2026-05-09,2026-05-10
INC2003,E1001,Finance,Email / Outlook,P2,In Progress,Marcus Lee,Email,2026-05-25,
INC2004,E1009,Marketing,Wi-Fi / Network,P3,Open,Hafiz Abdullah,Phone,2026-05-17,
INC2005,E1034,Engineering,Hardware,P2,Resolved,Hafiz Abdullah,Email,2026-05-27,2026-05-31
INC2006,E1007,HR,Wi-Fi / Network,P2,Closed,Marcus Lee,Email,2026-05-05,2026-05-07
INC2007,E1017,IT,Account Lockout,P3,Resolved,Joanne Goh,Portal,2026-05-07,2026-05-09
INC2008,E1011,HR,Email / Outlook,P1,Closed,Hafiz Abdullah,Email,2026-05-11,2026-05-12
INC2009,E1024,Operations,Email / Outlook,P2,Resolved,Marcus Lee,Email,2026-05-23,2026-05-24
INC2010,E1023,Sales,VPN,P2,Open,Marcus Lee,Email,2026-05-26,
INC2011,E1016,IT,Email / Outlook,P3,Resolved,Priya Nair,Portal,2026-05-28,2026-05-31
INC2012,E1027,IT,Printer,P2,In Progress,Hafiz Abdullah,Email,2026-05-06,
INC2013,E1025,IT,Software Install,P2,In Progress,Marcus Lee,Portal,2026-05-23,
INC2014,E1015,Sales,VPN,P3,In Progress,Hafiz Abdullah,Portal,2026-05-12,
INC2015,E1033,Finance,Password Reset,P3,Resolved,Hafiz Abdullah,Email,2026-05-25,2026-05-27
INC2016,E1003,Engineering,Hardware,P1,Resolved,Hafiz Abdullah,Email,2026-05-09,2026-05-10
INC2017,E1013,Marketing,MFA,P3,Closed,Joanne Goh,Portal,2026-05-17,2026-05-17
INC2018,E1028,Engineering,VPN,P3,Resolved,Hafiz Abdullah,Walk-in,2026-05-22,2026-05-23
INC2019,E1027,Marketing,Access Request,P3,Resolved,Hafiz Abdullah,Portal,2026-05-04,2026-05-06
INC2020,E1020,Finance,Account Lockout,P3,Open,Priya Nair,Email,2026-05-13,
INC2021,E1021,Finance,Password Reset,P3,In Progress,Unassigned,Email,2026-05-19,
INC2022,E1019,Operations,Email / Outlook,P3,Resolved,Marcus Lee,Email,2026-05-26,2026-05-27
INC2023,E1015,IT,Email / Outlook,P3,Open,Hafiz Abdullah,Portal,2026-05-08,
INC2024,E1030,Finance,Password Reset,P3,In Progress,Marcus Lee,Phone,2026-05-28,
INC2025,E1001,IT,Wi-Fi / Network,P2,Closed,Priya Nair,Phone,2026-05-13,2026-05-14
INC2026,E1004,Operations,Hardware,P2,Closed,Joanne Goh,Portal,2026-05-26,2026-05-30
INC2027,E1029,Operations,Hardware,P3,Resolved,Hafiz Abdullah,Phone,2026-05-22,2026-05-26
INC2028,E1029,Marketing,Hardware,P3,Resolved,Joanne Goh,Phone,2026-05-15,2026-05-16
INC2029,E1018,Finance,Printer,P3,In Progress,Priya Nair,Portal,2026-05-16,
INC2030,E1009,Sales,Account Lockout,P2,In Progress,Marcus Lee,Portal,2026-05-18,
INC2031,E1027,Engineering,Email / Outlook,P1,Closed,Joanne Goh,Portal,2026-05-14,2026-05-16
INC2032,E1031,Engineering,VPN,P3,Closed,Joanne Goh,Walk-in,2026-05-23,2026-05-23
INC2033,E1032,Sales,MFA,P3,Resolved,Priya Nair,Portal,2026-05-27,2026-05-30
INC2034,E1030,Sales,VPN,P3,Resolved,Priya Nair,Walk-in,2026-05-26,2026-05-29
INC2035,E1028,Sales,Wi-Fi / Network,P3,Closed,Marcus Lee,Phone,2026-05-22,2026-05-22
INC2036,E1022,IT,Password Reset,P2,In Progress,Hafiz Abdullah,Phone,2026-05-15,
INC2037,E1002,HR,Account Lockout,P3,Closed,Joanne Goh,Email,2026-05-27,2026-05-27
INC2038,E1016,Sales,Phishing / Security,P3,Resolved,Marcus Lee,Phone,2026-05-25,2026-05-25
INC2039,E1014,Finance,Email / Outlook,P3,In Progress,Unassigned,Email,2026-05-04,
INC2040,E1011,Marketing,Software Install,P3,In Progress,Marcus Lee,Portal,2026-05-24,
INC2041,E1005,Operations,Password Reset,P3,Resolved,Priya Nair,Email,2026-05-13,2026-05-16
INC2042,E1008,IT,Email / Outlook,P3,Open,Unassigned,Walk-in,2026-05-28,
INC2043,E1001,IT,Software Install,P3,Resolved,Hafiz Abdullah,Email,2026-05-12,2026-05-12
INC2044,E1028,Sales,VPN,P2,Resolved,Priya Nair,Email,2026-05-27,2026-05-30
INC2045,E1030,Finance,Phishing / Security,P3,In Progress,Joanne Goh,Phone,2026-05-18,
